논문 제목, 링크
미래 사회에서 메타버스 교육의 방향, http://www.riss.kr/link?id=A108016290
사형제도는 폐지되어야 하는가?, http://www.riss.kr/link?id=A60251440
헤어질 결심, http://www.riss.kr/link?id=A108202406
노키즈존 확산, 어떻게 볼 것인가?, http://www.riss.kr/link?id=A102257714
스트레스 수준이 대학생들의 학업 성취도에 미치는 영향, http://www.riss.kr/link?id=A82694597
고교학점제의 쟁점과 과제 분석, http://www.riss.kr/link?id=A107939046
부산시 반송동 정책이주지 주택 변화 연구, http://www.riss.kr/link?id=A108109431
대리모 산업의 윤리적 문제와 해결방안, http://www.riss.kr/link?id=A100401069
최저임금제도 개선방안에 관한 연구, http://www.riss.kr/link?id=A101866802
그리스-로마 신화의 교훈, http://www.riss.kr/link?id=A107552565
한국 인공지능 교육의 방향, http://www.riss.kr/link?id=A107319062
고교학점제 도입 추진 정책에 대한 비판적 검토, http://www.riss.kr/link?id=A105396133
챗봇 기반 인공지능 교육 프로그램 개발과 적용, http://www.riss.kr/link?id=A107319070
영화 속에서 나타난 인공지능의 인간화와 인간지배 현상 연구 - 신체가 있는 인공지능과 하이퍼 인공지능을 중심으로, http://www.riss.kr/link?id=A108140448
촉법소년 상한(형사미성년자) 연령 하향에 대한 비판적 고찰, http://www.riss.kr/link?id=A108417491
신노년세대를 위한 노인복지주택에 관한 연구, http://www.riss.kr/link?id=A106620521
인지발달에 대한 삐아제 이론과 비고츠키 이론의 비교, http://www.riss.kr/link?id=A101876695
디지털 정보활용능력이 노인의 삶의 만족도에 미치는 영향에 관한 연구, http://www.riss.kr/link?id=A108417224
자동창작시대의 예술 작품 -인공지능은 예술 창작의 주체가 될 수 있는가?, http://www.riss.kr/link?id=A106981421
사상체질과 MBTI성격유형검사를 통한 대학생 건강염려증의 상관관계연구, http://www.riss.kr/link?id=A107278397
Development of Ill-Structured Problems for Elementary Learners to Learn by Computer-Based Modeling Tools, http://www.riss.kr/link?id=A107653348
마을교육공동체 활성화 요인 관련 국내 연구 동향 분석, http://www.riss.kr/link?id=A108404159
국내외 가짜뉴스(Fake News)에 대한 뉴스 공정성 연구논의 탐색, http://www.riss.kr/link?id=A105591633
우리 사회의 능력주의는 제대로 작동하고 있는가?, http://www.riss.kr/link?id=A101887357
자연 상태에서 일어나는 음펨바 효과에 대한 연구, http://www.riss.kr/link?id=A106118568
음악치료 소개와 음악이란 매개체가 갖는 특별한 우수성, http://www.riss.kr/link?id=A30057540
2022 개정 교육과정, 고교학점제 도입에 따른 미용과 교사의 인식조사 및 직업계고 모형 운영방안, http://www.riss.kr/link?id=A108420453
초중등 인공지능 교육을 위한 프레임워크 기초 연구, http://www.riss.kr/link?id=A107309284
보웬(M. Bowen)의 다세대 가족치료, http://www.riss.kr/link?id=A108153901
행동주의 상담과 인본주의 상담의 특성 비교, http://www.riss.kr/link?id=A3029310
메타인지와 수학적 창의성의 관계, http://www.riss.kr/link?id=A105619724
간호관리자의 변혁적 리더십과 서번트 리더십이 신규간호사의 조직사회화에 미치는 영향: 집단효능감의 매개효과, http://www.riss.kr/link?id=A108418416
한국인의 성향에 따른 아이돌 팬덤 향유 방식 연구, http://www.riss.kr/link?id=A107800341
스마트시티와 도시전환_공공 공간으로서의 스마트시티, http://www.riss.kr/link?id=A108079381
인공지능 교육 프로그램 개발 및 적용을 통한 인공지능 역량ㆍ태도ㆍ인식 변화 분석, http://www.riss.kr/link?id=A108421121
창의 융합형 인재양성을 위한 초등학교 프로젝트 학습법 적용, http://www.riss.kr/link?id=A108021458
남자간호사가 인지한 역할갈등, 수간호사 수퍼리더십, 간호조직문화가 조직몰입에 미치는 영향, http://www.riss.kr/link?id=A108418389
The Impact of Employees' Growth Mindset on Organizational Citizenship Behavior in Small and Medium-sized Enterprises (SMEs): Focusing on the Mediating Effect of Authentic Leadership, http://www.riss.kr/link?id=A108452231
미술치료프로그램이 성인 발달장애인의 자기표현, 사회성 기술 및 삶의 질에 미치는 효과, http://www.riss.kr/link?id=A108040681
MZ세대의 모바일 AR 가상 피팅 서비스에 대한 경험적 가치가 감정반응, 브랜드 이미지 및 행동의도에 미치는 영향, http://www.riss.kr/link?id=A108418506
인공지능교육에 대한 초등교사의 인식 조사, http://www.riss.kr/link?id=A107366672
